### AlicePawn -- 718 own properties (offsets from live-process dump)
  +0x988   LockedZones                                    ArrayProperty     
  +0x99c   NoCamOffsetYWhenNoTarget                       BoolProperty       mask=0x1
  +0x99c   DynamicCamOffsetY                              BoolProperty       mask=0x2
  +0x99c   bIsSprinting                                   BoolProperty       mask=0x10000000
  +0x99c   EnableShadowCameraZoom                         BoolProperty       mask=0x10
  +0x99c   bShrinkingModeActive                           BoolProperty       mask=0x20
  +0x99c   bHoldToTriggerFloat                            BoolProperty       mask=0x400
  +0x99c   bInLondon                                      BoolProperty       mask=0x200
  +0x99c   bInGiantMode                                   BoolProperty       mask=0x80
  +0x99c   bEnableEndurance                               BoolProperty       mask=0x4000
  +0x99c   bCommandDress                                  BoolProperty       mask=0x8
  +0x99c   bIsConversing                                  BoolProperty       mask=0x80000
  +0x99c   bWantToConverse                                BoolProperty       mask=0x100000
  +0x99c   bWantToUseCommLink                             BoolProperty       mask=0x20000
  +0x99c   bInSwimCloth                                   BoolProperty       mask=0x8000000
  +0x99c   bUsingCommLink                                 BoolProperty       mask=0x10000
  +0x99c   bBoostingSwim                                  BoolProperty       mask=0x800000
  +0x99c   UnshrinkOnBase                                 BoolProperty       mask=0x40
  +0x99c   bInPushOrPull                                  BoolProperty       mask=0x1000
  +0x99c   bCollideWithSomething                          BoolProperty       mask=0x2000
  +0x99c   bUpdateEyeheight                               BoolProperty       mask=0x8000
  +0x99c   bInCommLinkStance                              BoolProperty       mask=0x40000
  +0x99c   bUseDeathMaterial                              BoolProperty       mask=0x200000
  +0x99c   bSwimKnockBack                                 BoolProperty       mask=0x400000
  +0x99c   bBoostCoolDownFinished                         BoolProperty       mask=0x1000000
  +0x99c   bIdleToSwimEnd                                 BoolProperty       mask=0x2000000
  +0x99c   bSwitchToSwim                                  BoolProperty       mask=0x4000000
  +0x99c   bSprintRTHold                                  BoolProperty       mask=0x20000000
  +0x99c   bStopUpdating                                  BoolProperty       mask=0x40000000
  +0x9a0   bClockBombCountingDown                         BoolProperty       mask=0x1
  +0x9a0   bHoldingWatch                                  BoolProperty       mask=0x2
  +0x9a0   bShouldBeHide                                  BoolProperty       mask=0x2000
  +0x9a0   bIsDoubleJumping                               BoolProperty       mask=0x80
  +0x9a0   bIsDoingContextAction                          BoolProperty       mask=0x20
  +0x9a0   bDeathInLondon                                 BoolProperty       mask=0x1000
  +0x9a0   bFloatFixCamera                                BoolProperty       mask=0x4000
  +0x9a0   bOldShowBlobShadow                             BoolProperty       mask=0x40000000
  +0x9a0   bJustLeaveEdge                                 BoolProperty       mask=0x80000000
  +0x9a0   bIsJumping                                     BoolProperty       mask=0x40
  +0x9a0   bJustLeaveHover                                BoolProperty       mask=0x100000
  +0x9a0   bAfterHoverJump                                BoolProperty       mask=0x400000
  +0x9a0   bFloatAfterHover                               BoolProperty       mask=0x80000
  +0x9a0   bJustLeaveSteam                                BoolProperty       mask=0x200000
  +0x9a0   bInShield                                      BoolProperty       mask=0x800000
  +0x9a0   bColdBreathActive                              BoolProperty       mask=0x20000
  +0x9a0   bBubbleEffectActive                            BoolProperty       mask=0x40000
  +0x9a0   bEnableGlideCameraInertia                      BoolProperty       mask=0x100
  +0x9a0   bGlideYawEnd                                   BoolProperty       mask=0x200
  +0x9a0   bGlidePitchEnd                                 BoolProperty       mask=0x400
  +0x9a0   bRepulsor                                      BoolProperty       mask=0x20000000
  +0x9a0   bClockBombIsRecharging                         BoolProperty       mask=0x4
  +0x9a0   DoRootTranslationForContext                    BoolProperty       mask=0x8
  +0x9a0   DoRootRotationForContext                       BoolProperty       mask=0x10
  +0x9a0   bSlideOffPawnWhenFalling                       BoolProperty       mask=0x800
  +0x9a0   bStepUp                                        BoolProperty       mask=0x8000
  +0x9a0   bStepDown                                      BoolProperty       mask=0x10000
  +0x9a0   bRollingCurrentSlide                           BoolProperty       mask=0x1000000
  +0x9a0   bRollingSlideActive                            BoolProperty       mask=0x2000000
  +0x9a0   bRollingSlideFast                              BoolProperty       mask=0x4000000
  +0x9a0   bRollingCurrentSlideFast                       BoolProperty       mask=0x8000000
  +0x9a0   bAttractedByCannon                             BoolProperty       mask=0x10000000
  +0x9a4   bInHysteriaMode                                BoolProperty       mask=0x1
  +0x9a4   bExitFloatWhenMissWindow                       BoolProperty       mask=0x40000
  +0x9a4   bActivateHysterialAnytime                      BoolProperty       mask=0x20000000
  +0x9a4   bDisableHPDrops                                BoolProperty       mask=0x40000000
  +0x9a4   bSonarAlwaysVisible                            BoolProperty       mask=0x80000000
  +0x9a4   bJumpPadHeightestPositionKeep                  BoolProperty       mask=0x80000
  +0x9a4   bHasDodgeInAir                                 BoolProperty       mask=0x4000000
  +0x9a4   bIsFrozen                                      BoolProperty       mask=0x10000
  +0x9a4   bHysteriaGodMode                               BoolProperty       mask=0x800
  +0x9a4   bTryToEndDeflectBeforeMinTime                  BoolProperty       mask=0x800000
  +0x9a4   bCanPlayHurtAnim                               BoolProperty       mask=0x8000000
  +0x9a4   bDelayedChangeWonderlandDress                  BoolProperty       mask=0x8000
  +0x9a4   bOnQuitHysteriaMode                            BoolProperty       mask=0x40
  +0x9a4   bRecoverHealth                                 BoolProperty       mask=0x1000
  +0x9a4   bRecoverHealthAtHysterialBegin                 BoolProperty       mask=0x2000
  +0x9a4   bCanHysteriaRetrigger                          BoolProperty       mask=0x8
  +0x9a4   bEverAboveRetriggerHealth                      BoolProperty       mask=0x10
  +0x9a4   bMatchHysteriaModeCondition                    BoolProperty       mask=0x20
  +0x9a4   bDeferredLeaveHysteriaMode                     BoolProperty       mask=0x80
  +0x9a4   bHysteriaTriggered                             BoolProperty       mask=0x4
  +0x9a4   bHysteriaPlaying                               BoolProperty       mask=0x2
  +0x9a4   bEnableHysteria                                BoolProperty       mask=0x100
  +0x9a4   bAllowToDropExpPickUp                          BoolProperty       mask=0x200
  +0x9a4   bAllowToDropHpPickUp                           BoolProperty       mask=0x400
  +0x9a4   bIADuringHysteria                              BoolProperty       mask=0x4000
  +0x9a4   bInPickRadius                                  BoolProperty       mask=0x20000
  +0x9a4   bShrinkFlowerEating                            BoolProperty       mask=0x100000
  +0x9a4   ShowPathTriggerParticleFinished                BoolProperty       mask=0x200000
  +0x9a4   bIsDeflectSpinning                             BoolProperty       mask=0x400000
  +0x9a4   bNewHoverControl                               BoolProperty       mask=0x1000000
  +0x9a4   bCanDodgeToEndGrabbed                          BoolProperty       mask=0x2000000
  +0x9a4   bDoingTeapotCannonFireSpecialMove              BoolProperty       mask=0x10000000
  +0x9a8   MODDLC_Flesh_DLCVB_HysterialAnytime            BoolProperty       mask=0x1
  +0x9a8   MODDLC_Cheshire_DLCHH_DisableHPDrops           BoolProperty       mask=0x2
  +0x9a8   MODDLC_Caterpillar_DLCVB_SonarAlwaysVisible    BoolProperty       mask=0x4
  +0x9ac   CurCameraMagnet                                ObjectProperty    
  +0x9b0   CurCameraMagnetElapsedTime                     FloatProperty     
  +0x9b4   CurCameraMagnetRotSpeed                        IntProperty       
  +0x9b8   CurCameraMagnetSpeedTime                       FloatProperty     
  +0x9bc   CurCameraMagnetEaseOut                         FloatProperty     
  +0x9c0   CloseFollowCamera                              StructProperty    
  +0x9d0   CamClosestThreshold                            FloatProperty     
  +0x9d4   CameraRotationSpeed                            FloatProperty     
  +0x9d8   CamPPEffectNames                               ArrayProperty     
  +0x9e4   CamLocDelay                                    FloatProperty     
  +0x9e8   CamRotDelay                                    FloatProperty     
  +0x9ec   CamFOVDelay                                    FloatProperty     
  +0x9f0   CamDistDelay                                   FloatProperty     
  +0x9f4   CamRevolutionDelay                             FloatProperty     
  +0x9f8   CamOffsetDelay                                 FloatProperty     
  +0x9fc   CamHeightExt                                   FloatProperty     
  +0xa00   IdleCameraTimeOutDuration                      FloatProperty     
  +0xa04   IdleCameraTimeOutAnim                          ObjectProperty    
  +0xa08   FPSCameraFOVOnTarget                           FloatProperty     
  +0xa0c   ClosestCameraThreshold                         FloatProperty     
  +0xa10   AliceFPSCameraFOV                              FloatProperty     
  +0xa14   CamHeightUpDelay                               FloatProperty     
  +0xa18   CamHeightDownDelay                             FloatProperty     
  +0xa1c   CameraElapsedBlendTime                         FloatProperty     
  +0xa20   CameraBlendTime                                FloatProperty     
  +0xa24   AliceCameraRevolAccelTime                      FloatProperty     
  +0xa28   AliceCameraRevolAccelExponent                  FloatProperty     
  +0xa2c   AliceCameraDistance                            FloatProperty     
  +0xa30   AliceCameraMaxDistance                         FloatProperty     
  +0xa34   AliceCameraMinDistance                         FloatProperty     
  +0xa38   AliceCameraOrientation                         StructProperty    
  +0xa44   AliceCameraFOV                                 FloatProperty     
  +0xa48   AliceCameraOffset                              StructProperty    
  +0xa54   CamRevolutionSpeed                             StructProperty    
  +0xa60   CamBehaviorStyle                               ByteProperty      
  +0xa61   GlideType                                      ByteProperty      
  +0xa62   PushPullState                                  ByteProperty      
  +0xa63   RadialPushPullState                            ByteProperty      
  +0xa64   CarryState                                     ByteProperty      
  +0xa65   ArcheTypeID                                    ByteProperty      
  +0xa66   SlideState                                     ByteProperty      
  +0xa67   CurWonderlandDress                             ByteProperty      
  +0xa68   PendingWonderlandDress                         ByteProperty      
  +0xa69   AliceDressLoadStep                             ByteProperty      
  +0xa6c   CamInitRevolutionSpeed                         StructProperty    
  +0xa78   POICameraOffset                                StructProperty    
  +0xa84   CamDistScale                                   FloatProperty     
  +0xa88   CamDistDelayScale                              FloatProperty     
  +0xa8c   CamPPEffects                                   ArrayProperty     
  +0xa98   OldAliceCameraOffset                           StructProperty    
  +0xaa4   AliceCameraDistScale                           FloatProperty     
  +0xaa8   AliceCameraExtraOffset                         StructProperty    
  +0xab4   OldCamMaxDistance                              FloatProperty     
  +0xab8   OldCamMinDistance                              FloatProperty     
  +0xabc   DelayedAliceCameraFOV                          FloatProperty     
  +0xac0   OldAliceEyeLoc                                 StructProperty    
  +0xacc   IdleCamera                                     StructProperty    
  +0xb44   WalkCamera                                     StructProperty    
  +0xbbc   SprintCamera                                   StructProperty    
  +0xc34   RunCamera                                      StructProperty    
  +0xcac   JumpCamera                                     StructProperty    
  +0xd24   FloatCamera                                    StructProperty    
  +0xd9c   SlideCamera                                    StructProperty    
  +0xe14   SteamVentCamera                                StructProperty    
  +0xe8c   ShrinkCamera                                   StructProperty    
  +0xf04   JumpPadsCamera                                 StructProperty    
  +0xf7c   PushPullCamera                                 StructProperty    
  +0xff4   CombatCamera                                   StructProperty    
  +0x106c  SwimCamera                                     StructProperty    
  +0x10e4  FastSwimCamera                                 StructProperty    
  +0x115c  WaterWalkCamera                                StructProperty    
  +0x11d4  InhabitPushPullCamera                          StructProperty    
  +0x124c  StrafeCamera                                   StructProperty    
  +0x12c4  FPSCamera                                      StructProperty    
  +0x133c  DefaultCamera                                  StructProperty    
  +0x13b4  pCurAbilityCamera                              StructProperty    
  +0x13b8  pCurCameraPreset                               StructProperty    
  +0x13bc  ActiveCameraPresets                            ArrayProperty     
  +0x13c8  pPreAbilityCamera                              StructProperty    
  +0x13cc  IntNormalCamera                                StructProperty    
  +0x1444  IntShrinkCamera                                StructProperty    
  +0x14bc  ExtPlatformCamera                              StructProperty    
  +0x1534  ExtFarCamera                                   StructProperty    
  +0x15ac  ExtNearCamera                                  StructProperty    
  +0x1624  BackupCamera                                   StructProperty    
  +0x169c  TargetCamera                                   StructProperty    
  +0x1714  PreCameraPreset                                StructProperty    
  +0x178c  CombinedCameraPreset                           StructProperty    
  +0x1804  CameraPresetBlendTimeToGo                      FloatProperty     
  +0x1808  CameraPresetBlendParams                        StructProperty    
  +0x181c  CurCameraPresetStyle                           IntProperty       
  +0x1820  TmpCamera                                      StructProperty    
  +0x1898  TmpTargetCamera                                StructProperty    
  +0x1910  SwimmingMinSpeedCameraAnim                     ObjectProperty    
  +0x1914  SwimmingMaxSpeedCameraAnim                     ObjectProperty    
  +0x1918  CurrentCameraAnimInst                          ObjectProperty    
  +0x191c  CurrentCameraAnim                              ObjectProperty    
  +0x1920  OldCameraAnim                                  ObjectProperty    
  +0x1924  CameraAnimInfo                                 ArrayProperty     
  +0x1930  OldForceResetCameraElapsedTime                 FloatProperty     
  +0x1934  ForceResetCameraElapsedTime                    FloatProperty     
  +0x1938  ForceResetCameraWaitTime                       FloatProperty     
  +0x193c  MaxLockOnPitchDeclination                      FloatProperty     
  +0x1940  MaxLockOnYawDeclination                        FloatProperty     
  +0x1944  OutOfFrameRotSpeed                             FloatProperty     
  +0x1948  BorderFOV                                      FloatProperty     
  +0x194c  LockOnCameraRotSpeed                           FloatProperty     
  +0x1950  ReadjustBlendSpeed                             FloatProperty     
  +0x1954  SwitchTargetBlendDelay                         FloatProperty     
  +0x1958  LockOnSwitchTargetBlendTime                    FloatProperty     
  +0x195c  OldLockOnAimTarget                             StructProperty    
  +0x1968  LockOnTargetCount                              IntProperty       
  +0x196c  CombatToStrafeCamBlendDelay                    FloatProperty     
  +0x1970  LockOnSocketOffset                             StructProperty    
  +0x197c  CombatToStrafeCamBlendTime                     FloatProperty     
  +0x1980  MiddleModeBlendTime                            FloatProperty     
  +0x1984  MiddleModeBlendElapsedTime                     FloatProperty     
  +0x1988  SwitchMiddleModeFOVScale                       FloatProperty     
  +0x198c  OldLockOnTargetLoc                             StructProperty    
  +0x1998  OldRotation                                    StructProperty    
  +0x19a4  LockOnYawOffset                                FloatProperty     
  +0x19a8  LockOnElapsedTime                              FloatProperty     
  +0x19ac  TargetOnDestroyedActorTimer                    FloatProperty     
  +0x19b0  LockConeAngle                                  FloatProperty     
  +0x19b4  RSHoldSwitchDuration                           FloatProperty     
  +0x19b8  RTTapThreshold                                 FloatProperty     
  +0x19bc  FOVScale                                       FloatProperty     
  +0x19c0  MinNPCToCamDistance                            FloatProperty     
  +0x19c4  MaxNPCToCamDistance                            FloatProperty     
  +0x19c8  MinLockUIScale                                 FloatProperty     
  +0x19cc  MaxLockUIScale                                 FloatProperty     
  +0x19d0  Zrear                                          FloatProperty     
  +0x19d4  Zfar                                           FloatProperty     
  +0x19d8  Zxyfar                                         FloatProperty     
  +0x19dc  Xfar                                           FloatProperty     
  +0x19e0  Yfar                                           FloatProperty     
  +0x19e4  KynapseHandle                                  ComponentProperty 
  +0x19e8  ExtraSplinRollLimitWhenRunning                 FloatProperty     
  +0x19ec  ExtraHeadRollLimitWhenRunning                  FloatProperty     
  +0x19f0  ExtraSplinYawLimitWhenRunning                  FloatProperty     
  +0x19f4  ExtraHeadYawLimitWhenRunning                   FloatProperty     
  +0x19f8  TargetingSearchRadius                          FloatProperty     
  +0x19fc  CamRotDelayCombatTargeting                     FloatProperty     
  +0x1a00  PostProcessEffectCombatTargeting               NameProperty      
  +0x1a08  LungeRange                                     FloatProperty     
  +0x1a0c  CombatJumpZ                                    FloatProperty     
  +0x1a10  AdditionalOffsetForAutoRotateDistanceCheck     FloatProperty     
  +0x1a14  NonLockOnAutoTargetAngleRange                  FloatProperty     
  +0x1a18  NonLockOnAutoTargetDistance                    FloatProperty     
  +0x1a1c  fNoNPCInCamLockingRadius                       FloatProperty     
  +0x1a20  fNoNPCInCamLockingHeight                       FloatProperty     
  +0x1a24  DelayTimeForNextDodge                          FloatProperty     
  +0x1a28  CurrentTouchingBlockingActor                   ObjectProperty    
  +0x1a2c  AimOffsetPct                                   StructProperty    
  +0x1a34  VorpalBlade_StrafeSpeed                        StructProperty    
  +0x1a44  TeapotCannon_StrafeSpeed                       StructProperty    
  +0x1a54  TeapotCannon_Charge_StrafeSpeed                StructProperty    
  +0x1a64  EyeStaff_StrafeSpeed                           StructProperty    
  +0x1a74  HobbyHorse_StrafeSpeed                         StructProperty    
  +0x1a84  EyeStaff_StrafeSpeed_Aiming                    StructProperty    
  +0x1a94  TeapotCannon_StrafeSpeed_Aiming                StructProperty    
  +0x1aa4  TeapotCannon_Charge_StrafeSpeed_Aiming         StructProperty    
  +0x1ab4  CamLockOnDOFSettings                           StructProperty    
  +0x1ad8  TargetRangeForDynamicYOffset                   FloatProperty     
  +0x1adc  DynamicPitchExponentModifier                   FloatProperty     
  +0x1ae0  TargetCameraOffsetY                            FloatProperty     
  +0x1ae4  OldAliceDir                                    StructProperty    
  +0x1af0  MaxDistForLockOnCamDrop                        FloatProperty     
  +0x1af4  TimeDelayToCancelLockOnCameraParameters        FloatProperty     
  +0x1af8  LightEnvironment                               ComponentProperty 
  +0x1afc  AliceCurrentDress                              NameProperty      
  +0x1b04  CommandDress                                   NameProperty      
  +0x1b0c  ShadowCameraZoomType                           IntProperty       
  +0x1b10  ShadowCameraZoomIn                             FloatProperty     
  +0x1b14  ShadowCameraZoomOut                            FloatProperty     
  +0x1b18  ShadowCameraZoomNormal                         FloatProperty     
  +0x1b1c  SoundCueToPlay                                 ObjectProperty    
  +0x1b20  ShrinkingSound                                 ObjectProperty    
  +0x1b24  ShrinkBubbleSound                              ObjectProperty    
  +0x1b28  UnShrinkingSound                               ObjectProperty    
  +0x1b2c  ShrinkingCollisionScale                        FloatProperty     
  +0x1b30  ShrinkBaseEyeHeight                            FloatProperty     
  +0x1b34  ShrinkJumpHeight                               FloatProperty     
  +0x1b38  ShrinkMaxWalkingSpeed                          FloatProperty     
  +0x1b3c  ShrinkMaxRunningSpeed                          FloatProperty     
  +0x1b40  ShrinkParticleIntermittentTime                 FloatProperty     
  +0x1b44  StartShrink                                    ObjectProperty    
  +0x1b48  EndShrink                                      ObjectProperty    
  +0x1b4c  ShrunkSprintSpeed                              FloatProperty     
  +0x1b50  ShrinkSpeed                                    FloatProperty     
  +0x1b54  UnShrinkSpeed                                  FloatProperty     
  +0x1b58  UnshrinkRadius                                 FloatProperty     
  +0x1b5c  UnshrinkHeight                                 FloatProperty     
  +0x1b60  LastSafeVerifyUnShrinkPoint                    StructProperty    
  +0x1b6c  ShrinkEmitter                                  ObjectProperty    
  +0x1b70  LowJumpAccel                                   FloatProperty     
  +0x1b74  OldAirControl                                  FloatProperty     
  +0x1b78  OldTerminalVelocity                            FloatProperty     
  +0x1b7c  TimeToCancelFloatModeWhenNoTapping             FloatProperty     
  +0x1b80  FloatDownGravityZ                              FloatProperty     
  +0x1b84  MaxFloatBoundSpeed                             FloatProperty     
  +0x1b88  MinFloatBoundSpeed                             FloatProperty     
  +0x1b8c  GlideDownGravityZ                              FloatProperty     
  +0x1b90  ForceIgnoreInputWindow                         FloatProperty     
  +0x1b94  FirstCycle                                     FloatProperty     
  +0x1b98  CycleRatio                                     FloatProperty     
  +0x1b9c  GlideAC                                        ComponentProperty 
  +0x1ba0  GlideLoopingCue                                ObjectProperty    
  +0x1ba4  JumpCue                                        ObjectProperty    
  +0x1ba8  FloatFadeInTime                                FloatProperty     
  +0x1bac  FloatFadeOutTime                               FloatProperty     
  +0x1bb0  FloatFadeInVolume                              FloatProperty     
  +0x1bb4  FloatFadeOutVolume                             FloatProperty     
  +0x1bb8  PushSpeed                                      FloatProperty     
  +0x1bbc  SuperPushGridNumber                            IntProperty       
  +0x1bc0  HoldJumpTime                                   FloatProperty     
  +0x1bc4  TriggerFloatDownTime                           FloatProperty     
  +0x1bc8  MinFallingVelocityZ                            FloatProperty     
  +0x1bcc  MaxFloatDuration                               FloatProperty     
  +0x1bd0  PrePreDuration                                 FloatProperty     
  +0x1bd4  PreDuration                                    FloatProperty     
  +0x1bd8  MaxCycleFloat                                  IntProperty       
  +0x1bdc  HoldFloatTime                                  FloatProperty     
  +0x1be0  Hair                                           ObjectProperty    
  +0x1be4  HairComponent                                  ComponentProperty 
  +0x1be8  HairDebugMaterials                             ArrayProperty     
  +0x1bf4  HysteriaHair                                   StructProperty    
  +0x1c6c  WaterHair                                      StructProperty    
  +0x1ce4  WRabbitHair                                    StructProperty    
  +0x1d5c  MadHatterHair                                  StructProperty    
  +0x1dd4  DefaultHair                                    StructProperty    
  +0x1e4c  CurHair                                        StructProperty    
  +0x1ec4  HairFloatForce                                 StructProperty    
  +0x1ed0  HairFloatPerturbAmplitude                      StructProperty    
  +0x1edc  HairFloatDamping                               FloatProperty     
  +0x1ee0  SkirtComponent                                 ComponentProperty 
  +0x1ee4  BowComponent                                   ComponentProperty 
  +0x1ee8  RibbonComponent                                ComponentProperty 
  +0x1eec  SkirtFloatRadialForceDisplacement              StructProperty    
  +0x1ef8  SkirtFloatRadialForceMagnitude                 FloatProperty     
  +0x1efc  SkirtFallingRadialForceDisplacement            StructProperty    
  +0x1f08  SkirtFallingRadialForceMagnitudeScale          FloatProperty     
  +0x1f0c  SkirtFallingRadialForceMagnitudeMax            FloatProperty     
  +0x1f10  RibbonFloatRadialForceMagnitude                FloatProperty     
  +0x1f14  RibbonFallingRadialForceMagnitudeScale         FloatProperty     
  +0x1f18  RibbonFallingRadialForceMagnitudeMax           FloatProperty     
  +0x1f1c  SkirtFloatInitialDuration                      FloatProperty     
  +0x1f20  SkirtFloatInitialScale                         FloatProperty     
  +0x1f24  SkirtFloatInitialDisplacement                  StructProperty    
  +0x1f30  EarComponent                                   ComponentProperty 
  +0x1f34  HairLastPerturbAmplitude                       StructProperty    
  +0x1f40  HairPerturbAmplitudeScale                      StructProperty    
  +0x1f4c  RibbonLastPerturbAmplitude                     StructProperty    
  +0x1f58  RibbonPerturbAmplitudeScale                    StructProperty    
  +0x1f64  UpperBodyComponent                             ComponentProperty 
  +0x1f68  SonarRadius                                    FloatProperty     
  +0x1f6c  SonarDuration                                  FloatProperty     
  +0x1f70  SonarCameraAnim                                ObjectProperty    
  +0x1f74  ShrinkDuration                                 FloatProperty     
  +0x1f78  HallucinationCameraAnim                        ObjectProperty    
  +0x1f7c  HallucinationWaitTime                          FloatProperty     
  +0x1f80  DodgeEmitter                                   ObjectProperty    
  +0x1f84  DummyWeapon                                    ObjectProperty    
  +0x1f88  CurEndurance                                   FloatProperty     
  +0x1f8c  Endurance                                      StructProperty    
  +0x1fa0  RightHandSocketName                            NameProperty      
  +0x1fa8  Umbrella                                       ComponentProperty 
  +0x1fac  AccumulateDamage                               FloatProperty     
  +0x1fb0  OldInvManager                                  ObjectProperty    
  +0x1fb4  TestMesh                                       ObjectProperty    
  +0x1fb8  TestPhysicsAsset                               ObjectProperty    
  +0x1fbc  RagdollPhysicsAsset                            ObjectProperty    
  +0x1fc0  BackUpBodyPhysicsAsset                         ObjectProperty    
  +0x1fc4  DeathRagdollDelay                              FloatProperty     
  +0x1fc8  DeathRagdollParticleArray                      ArrayProperty     
  +0x1fd4  DeathMaterialArray                             ArrayProperty     
  +0x1fe0  DeathSoundFX                                   ObjectProperty    
  +0x1fe4  RespawnRagdollDelay                            FloatProperty     
  +0x1fe8  RespawnRagdollParticleArray                    ArrayProperty     
  +0x1ff4  RespawnMaterialArray                           ArrayProperty     
  +0x2000  RespawnSoundFX                                 ObjectProperty    
  +0x2004  SwimCameraHeight                               FloatProperty     
  +0x2008  Turn180DegreeCamAnim                           ObjectProperty    
  +0x200c  SwimCameraInertia                              FloatProperty     
  +0x2010  SwimTurnSpeed                                  FloatProperty     
  +0x2014  BarrelRollDelayTime                            FloatProperty     
  +0x2018  curBarrelRollDelayTime                         FloatProperty     
  +0x201c  BoostSwimSpeed                                 FloatProperty     
